"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
665862,"Chisholm Jr., Jazz",452,0.904,319,"72.838578119",0.2876106194690265,0.335423197492163,0.23672566371681417,0.15047021943573669,0.10619469026548672,"7.880548783",9,-13.927965102269049,,NaN,155,0.34292035398230086
676475,"Burleson, Alec",506,0.9051878354203936,415,"72.810544862",0.26482213438735175,0.3686746987951807,0.30237154150197626,0.1927710843373494,0.15810276679841898,"7.479995791",4,-0.89305583752556,,NaN,224,0.4426877470355731
665750,"Taveras, Leody",359,0.9020100502512562,266,"72.790588217",0.27855153203342614,0.2669172932330827,0.1977715877437326,0.10150375939849623,0.07520891364902507,"7.547958914",4,-10.171012531631572,,NaN,131,0.3649025069637883
650489,"Castro, Willi",450,0.9054325955734407,322,"72.773481178",0.2511111111111111,0.2670807453416149,0.19111111111111112,0.11490683229813664,0.08222222222222222,"7.361159178",6,-9.038784728502911,,NaN,139,0.3088888888888889
677649,"Duran, Ezequiel",401,0.9011235955056179,296,"72.728186259",0.27930174563591026,0.2972972972972973,0.2194513715710723,0.13513513513513514,0.09975062344139651,"7.106221621",6,-1.8485591869213995,,NaN,146,0.3640897755610973
678554,"Mead, Curtis",330,0.8991825613079019,283,"72.714644091",0.2878787878787879,0.30742049469964666,0.2636363636363636,0.14840989399293286,0.12727272727272726,"7.078537545",6,-2.8752725916498783,,NaN,134,0.40606060606060607
802139,"Wetherholt, JJ",496,0.9100917431192661,404,"72.57334244",0.2439516129032258,0.3564356435643564,0.2903225806451613,0.14356435643564355,0.11693548387096774,"7.588389335",12,-14.271388703861717,,NaN,214,0.4314516129032258
543807,"Springer, George",404,0.9017857142857143,320,"72.5536525",0.2846534653465347,0.284375,0.22524752475247525,0.115625,0.09158415841584158,"7.444662079",15,-8.83601092329731,,NaN,152,0.37623762376237624
677942,"Alexander, Blaze",326,0.9030470914127424,240,"72.532716748",0.2607361963190184,0.3458333333333333,0.254601226993865,0.13333333333333333,0.09815950920245399,"7.456433006",7,-6.95936901199826,,NaN,112,0.34355828220858897
607043,"Nimmo, Brandon",509,0.905693950177936,398,"72.46187169",0.26719056974459726,0.3693467336683417,0.2888015717092338,0.1884422110552764,0.14734774066797643,"7.027502456",12,-12.242010171360064,,NaN,198,0.3889980353634578
657656,"Laureano, Ramón",359,0.9042821158690176,250,"72.448665404",0.2590529247910863,0.264,0.18384401114206128,0.12,0.08356545961002786,"7.100571421",10,-9.988901099511612,,NaN,103,0.28690807799442897
701398,"Stewart, Sal",523,0.9017241379310345,391,"72.446307189",0.27724665391969405,0.3171355498721228,0.23709369024856597,0.14578005115089515,0.1089866156787763,"7.555328528",15,-8.629672381043225,,NaN,191,0.3652007648183556
669477,"Schmitt, Casey",488,0.9087523277467412,386,"72.321037889",0.2766393442622951,0.32124352331606215,0.2540983606557377,0.15803108808290156,0.125,"7.623705389",11,1.939872817952929,,NaN,195,0.39959016393442626
700250,"Rice, Ben",454,0.906187624750499,351,"72.317374471",0.22026431718061673,0.3732193732193732,0.28854625550660795,0.19658119658119658,0.15198237885462554,"7.558531167",8,12.10938485854439,,NaN,182,0.4008810572687225
642715,"Adames, Willy",513,0.9015817223198594,385,"72.301183041",0.253411306042885,0.32727272727272727,0.24561403508771928,0.12987012987012986,0.09746588693957114,"8.139138207",8,-4.968345869665516,,NaN,198,0.38596491228070173
665742,"Soto, Juan",323,0.8997214484679665,272,"72.244170929",0.26934984520123845,0.45955882352941174,0.38699690402476783,0.2426470588235294,0.2043343653250774,"7.112856997",21,12.880957265904321,,NaN,164,0.5077399380804953
