Name,AVG,OBP,SLG,OPS,wOBA,wRC+,PA,R,HR,RBI,SB,WAR,BABIP,BB%,K%,ISO
Jacob Wilson,0.239,0.25,0.284,0.534,,,68,5,0,5,0,,0.281,0.015,0.147,0.045
Josh Bell,0.238,0.347,0.46,0.807,,,75,15,3,14,0,,0.273,0.133,0.227,0.222
Riley Greene,0.238,0.333,0.349,0.682,,,72,11,1,10,1,,0.304,0.125,0.222,0.111
Cody Bellinger,0.237,0.329,0.339,0.668,,,70,9,1,6,3,,0.26,0.129,0.143,0.102
Kyle Schwarber,0.237,0.4,0.593,0.993,,,75,12,6,12,0,,0.296,0.173,0.347,0.356
Byron Buxton,0.235,0.293,0.441,0.734,,,75,15,3,4,0,,0.283,0.067,0.267,0.206
Lenyn Sosa,0.235,0.235,0.324,0.559,,,34,3,0,3,0,,0.296,0.0,0.206,0.089
Aaron Judge,0.234,0.329,0.547,0.876,,,74,14,6,12,3,,0.25,0.108,0.297,0.313
Isaac Paredes,0.234,0.345,0.319,0.664,,,55,6,0,6,0,,0.306,0.073,0.2,0.085
Junior Caminero,0.233,0.347,0.367,0.714,,,72,7,2,4,0,,0.267,0.153,0.194,0.134
Zach Neto,0.233,0.349,0.479,0.828,,,86,16,5,9,1,,0.279,0.151,0.291,0.246
Dylan Beavers,0.233,0.306,0.326,0.632,,,49,7,1,5,1,,0.273,0.102,0.204,0.093
Spencer Horwitz,0.233,0.346,0.326,0.672,,,52,6,1,3,0,,0.273,0.154,0.192,0.093
Max Muncy,0.232,0.317,0.446,0.763,,,63,11,4,4,0,,0.3,0.111,0.349,0.214
Ronald Acuña Jr.,0.232,0.333,0.362,0.695,,,81,5,1,5,4,,0.278,0.123,0.185,0.13
José Fermín,0.231,0.313,0.231,0.544,,,17,1,0,1,0,,0.3,0.118,0.235,0.0
Danny Jansen,0.231,0.302,0.359,0.661,,,43,3,1,6,0,,0.333,0.093,0.326,0.128
Andrew McCutchen,0.231,0.259,0.423,0.682,,,27,3,1,4,0,,0.357,0.037,0.407,0.192
Victor Robles,0.231,0.231,0.308,0.539,,,13,0,0,1,1,,0.3,0.0,0.231,0.077
Jorge Soler,0.231,0.342,0.508,0.85,,,79,13,5,18,0,,0.278,0.127,0.329,0.277
Cole Young,0.23,0.319,0.393,0.712,,,69,11,2,9,0,,0.293,0.101,0.261,0.163
Jac Caglianone,0.229,0.315,0.313,0.628,,,54,4,0,0,0,,0.355,0.074,0.315,0.084
Henry Davis,0.229,0.325,0.314,0.639,,,40,5,0,3,1,,0.308,0.1,0.225,0.085
Jake Mangum,0.229,0.289,0.257,0.546,,,39,6,0,1,1,,0.286,0.077,0.179,0.028
Jerar Encarnacion,0.227,0.227,0.273,0.5,,,22,1,0,0,0,,0.278,0.0,0.182,0.046
Mark Vientos,0.227,0.255,0.341,0.596,,,47,5,1,5,0,,0.273,0.043,0.234,0.114
JJ Wetherholt,0.227,0.354,0.379,0.733,,,82,13,3,9,4,,0.235,0.146,0.171,0.152
Bo Bichette,0.227,0.272,0.307,0.579,,,81,6,1,9,0,,0.291,0.062,0.247,0.08
Ian Happ,0.226,0.314,0.484,0.798,,,70,8,4,8,0,,0.294,0.114,0.343,0.258
Heliot Ramos,0.226,0.25,0.258,0.508,,,64,5,0,6,0,,0.359,0.031,0.359,0.032
Kazuma Okamoto,0.224,0.297,0.345,0.642,,,64,5,2,4,0,,0.324,0.094,0.344,0.121
Jonathan Aranda,0.222,0.307,0.413,0.72,,,75,8,3,14,0,,0.239,0.12,0.227,0.191
Juan Brito,0.222,0.276,0.296,0.572,,,29,4,0,1,0,,0.3,0.069,0.241,0.074
Derek Hill,0.222,0.364,0.222,0.586,,,22,2,0,0,3,,0.4,0.182,0.364,0.0
Carter Jensen,0.222,0.265,0.511,0.776,,,49,6,4,9,0,,0.231,0.061,0.327,0.289
Luke Keaschall,0.222,0.278,0.292,0.57,,,79,11,1,9,3,,0.246,0.076,0.139,0.07
Isiah Kiner-Falefa,0.222,0.3,0.222,0.522,,,20,3,0,0,0,,0.267,0.1,0.15,0.0
Royce Lewis,0.222,0.378,0.444,0.822,,,45,6,2,8,2,,0.273,0.178,0.267,0.222
Nick Loftin,0.222,0.364,0.333,0.697,,,11,3,0,0,0,,0.25,0.182,0.091,0.111
Starling Marte,0.222,0.222,0.333,0.555,,,18,1,0,0,0,,0.364,0.0,0.389,0.111
Mike Trout,0.222,0.388,0.508,0.896,,,80,17,5,13,2,,0.22,0.188,0.212,0.286
Gunnar Henderson,0.221,0.302,0.519,0.821,,,86,13,6,13,4,,0.234,0.093,0.279,0.298
Pete Crow-Armstrong,0.221,0.264,0.294,0.558,,,73,11,1,5,4,,0.311,0.041,0.301,0.073
Gavin Sheets,0.22,0.25,0.44,0.69,,,52,6,2,6,1,,0.265,0.038,0.269,0.22
Blaze Alexander,0.22,0.289,0.244,0.533,,,47,5,0,1,3,,0.333,0.064,0.298,0.024
Jake Fraley,0.219,0.306,0.313,0.619,,,36,2,0,1,0,,0.28,0.111,0.194,0.094
