Name,ERA,FIP,xFIP,WHIP,K/9,BB/9,HR/9,K%,BB%,BABIP,LOB%,WAR,IP,G,GS,W,L
Wil Crowe,4.66,,,1.86,8.38,8.38,0.93,0.191,0.191,0.243,,,9.2,5,0,0,1
Jimmy Herget,4.66,,,1.41,8.07,2.48,2.17,0.205,0.063,0.282,,,29.0,29,1,2,4
Dominic Leone,4.67,,,1.43,9.0,4.67,2.33,0.23,0.119,0.244,,,54.0,51,0,1,3
José De León,4.67,,,1.21,8.83,2.6,1.04,0.243,0.071,0.25,,,17.1,12,1,0,1
Keaton Winn,4.68,,,1.04,7.44,1.7,1.28,0.203,0.047,0.231,,,42.1,9,5,1,3
Tyson Miller,4.7,,,1.24,5.87,3.52,1.17,0.156,0.094,0.232,,,15.1,10,0,1,0
Antonio Senzatela,4.7,,,1.17,4.7,2.35,3.52,0.133,0.067,0.25,,,7.2,2,2,0,1
Tylor Megill,4.7,,,1.58,7.48,4.13,1.28,0.185,0.102,0.282,,,126.1,25,25,9,8
Josh Fleming,4.7,,,1.45,4.35,3.31,1.57,0.113,0.086,0.281,,,51.2,12,3,2,0
Keegan Thompson,4.71,,,1.36,8.16,5.97,0.63,0.208,0.152,0.194,,,28.2,19,0,2,2
Bruce Zimmermann,4.73,,,1.28,9.45,0.0,2.02,0.23,0.0,0.293,,,13.1,7,0,2,0
Albert Abreu,4.73,,,1.47,9.31,5.34,1.37,0.228,0.131,0.231,,,59.0,45,0,2,2
Andrew Chafin,4.73,,,1.42,11.05,4.91,1.05,0.281,0.125,0.231,,,51.1,63,0,3,4
Kyle Gibson,4.73,,,1.32,7.36,2.58,1.08,0.195,0.068,0.27,,,192.0,33,33,15,9
Scott McGough,4.73,,,1.28,11.0,3.84,1.79,0.286,0.1,0.226,,,70.1,63,1,2,7
Lucas Erceg,4.75,,,1.58,11.13,5.89,0.16,0.271,0.143,0.245,,,55.0,50,0,4,4
Adrián Martinez,4.75,,,1.42,7.69,3.11,1.31,0.195,0.079,0.278,,,55.0,22,1,0,2
Graham Ashcraft,4.76,,,1.37,6.86,3.21,1.42,0.178,0.083,0.265,,,145.2,26,26,7,9
Dylan Floro,4.76,,,1.54,9.21,2.7,0.48,0.234,0.069,0.308,,,56.2,62,0,5,6
Andre Pallante,4.76,,,1.56,5.69,3.97,0.79,0.142,0.099,0.286,,,68.0,62,0,4,1
Luis Ortiz,4.78,,,1.7,6.13,4.98,1.35,0.147,0.12,0.288,,,86.2,18,15,5,5
Miles Mikolas,4.78,,,1.32,6.12,1.74,1.16,0.159,0.045,0.282,,,201.1,35,35,9,13
Rob Zastryzny,4.79,,,1.79,6.53,5.66,0.44,0.155,0.134,0.293,,,20.2,21,1,1,0
Brent Honeywell,4.82,,,1.45,7.74,3.96,1.72,0.192,0.098,0.26,,,52.1,40,0,2,4
Jake Cousins,4.82,,,2.14,6.75,9.64,0.96,0.156,0.222,0.286,,,9.1,9,0,0,0
Hunter Greene,4.82,,,1.42,12.21,3.86,1.53,0.305,0.096,0.253,,,112.0,22,22,4,7
Grant Hartwig,4.84,,,1.39,7.64,3.82,0.76,0.19,0.095,0.25,,,35.1,28,0,5,2
Jameson Taillon,4.84,,,1.28,8.16,2.39,1.57,0.214,0.063,0.258,,,154.1,30,29,8,10
Nate Pearson,4.85,,,1.27,9.07,3.8,1.48,0.236,0.099,0.226,,,42.2,35,0,5,2
Angel Zerpa,4.85,,,1.27,7.59,1.69,1.48,0.198,0.044,0.272,,,42.2,15,3,3,3
Collin Snider,4.87,,,1.82,4.87,5.75,1.33,0.116,0.137,0.296,,,20.1,20,1,0,0
Anthony DeSclafani,4.88,,,1.25,7.13,1.81,1.35,0.189,0.048,0.271,,,99.2,19,18,4,8
Lucas Giolito,4.88,,,1.31,9.96,3.56,2.0,0.257,0.092,0.24,,,184.1,33,33,8,15
Mauricio Llovera,4.89,,,1.46,7.46,3.86,0.77,0.181,0.094,0.259,,,35.0,30,0,2,3
