Name,AVG,OBP,SLG,OPS,wOBA,wRC+,PA,R,HR,RBI,SB,WAR,BABIP,BB%,K%,ISO
Jose Altuve,0.265,0.329,0.442,0.771,,,654,80,26,77,10,,0.283,0.084,0.167,0.177
Jordan Westburg,0.265,0.313,0.457,0.77,,,352,59,17,41,1,,0.302,0.048,0.227,0.192
J.P. Crawford,0.265,0.352,0.37,0.722,,,654,69,12,58,8,,0.318,0.113,0.187,0.105
Lenyn Sosa,0.264,0.293,0.434,0.727,,,544,57,22,75,2,,0.309,0.033,0.233,0.17
Christian Koss,0.264,0.309,0.368,0.677,,,191,25,3,23,4,,0.336,0.047,0.236,0.104
Byron Buxton,0.264,0.327,0.551,0.878,,,542,97,35,83,24,,0.302,0.076,0.273,0.287
Nolan Schanuel,0.264,0.353,0.389,0.742,,,564,64,12,53,5,,0.286,0.105,0.126,0.125
Junior Caminero,0.264,0.311,0.535,0.846,,,653,93,45,110,7,,0.26,0.063,0.191,0.271
Vinnie Pasquantino,0.264,0.323,0.475,0.798,,,682,72,32,113,1,,0.271,0.072,0.157,0.211
Elly De La Cruz,0.264,0.336,0.44,0.776,,,699,102,22,86,37,,0.337,0.096,0.259,0.176
Jackson Merrill,0.264,0.317,0.457,0.774,,,483,59,16,67,1,,0.312,0.068,0.224,0.193
Christian Yelich,0.264,0.343,0.452,0.795,,,644,88,29,103,16,,0.323,0.099,0.259,0.188
Isaac Collins,0.263,0.368,0.411,0.779,,,441,56,9,54,16,,0.326,0.129,0.211,0.148
Juan Soto,0.263,0.396,0.525,0.921,,,715,120,43,105,38,,0.27,0.178,0.192,0.262
José Azocar,0.263,0.333,0.263,0.596,,,21,5,0,1,1,,0.278,0.095,0.048,0.0
Trevor Story,0.263,0.308,0.433,0.741,,,654,91,25,96,31,,0.33,0.05,0.269,0.17
Xander Bogaerts,0.263,0.328,0.391,0.719,,,552,63,11,53,20,,0.299,0.087,0.17,0.128
Mike Tauchman,0.263,0.356,0.4,0.756,,,385,44,9,40,0,,0.328,0.117,0.223,0.137
Noelvi Marte,0.263,0.3,0.448,0.748,,,360,45,14,51,10,,0.31,0.044,0.236,0.185
Brandon Nimmo,0.262,0.324,0.436,0.76,,,652,81,25,92,13,,0.301,0.077,0.216,0.174
Isiah Kiner-Falefa,0.262,0.297,0.334,0.631,,,459,45,2,40,15,,0.314,0.037,0.168,0.072
Myles Straw,0.262,0.313,0.367,0.68,,,299,51,4,32,12,,0.308,0.064,0.167,0.105
Miguel Rojas,0.262,0.318,0.397,0.715,,,317,35,7,27,5,,0.291,0.076,0.145,0.135
Brent Rooker,0.262,0.335,0.479,0.814,,,699,92,30,89,6,,0.302,0.093,0.222,0.217
Bryce Harper,0.261,0.357,0.487,0.844,,,580,72,27,75,12,,0.292,0.121,0.209,0.226
Michael Busch,0.261,0.343,0.523,0.866,,,592,78,34,90,4,,0.292,0.095,0.235,0.262
TJ Friedl,0.261,0.364,0.378,0.742,,,685,82,14,53,12,,0.301,0.118,0.168,0.117
Nick Sogard,0.26,0.317,0.344,0.661,,,104,13,0,9,2,,0.347,0.048,0.231,0.084
James McCann,0.26,0.324,0.431,0.755,,,137,18,5,17,0,,0.314,0.058,0.241,0.171
Nick Gonzales,0.26,0.299,0.362,0.661,,,408,39,5,30,0,,0.306,0.051,0.179,0.102
William Contreras,0.26,0.355,0.399,0.754,,,659,89,17,76,6,,0.299,0.127,0.182,0.139
Austin Riley,0.26,0.309,0.428,0.737,,,447,54,16,54,2,,0.337,0.06,0.286,0.168
Corbin Carroll,0.259,0.343,0.541,0.884,,,642,107,31,84,32,,0.299,0.104,0.238,0.282
Zach McKinstry,0.259,0.333,0.438,0.771,,,511,68,12,49,19,,0.314,0.09,0.217,0.179
Victor Caratini,0.259,0.324,0.404,0.728,,,386,35,12,46,1,,0.282,0.06,0.168,0.145
Riley Greene,0.258,0.313,0.493,0.806,,,655,84,36,111,2,,0.323,0.07,0.307,0.235
Pavin Smith,0.258,0.362,0.434,0.796,,,288,36,8,28,2,,0.377,0.142,0.319,0.176
Thomas Saggese,0.258,0.299,0.342,0.641,,,295,25,2,25,3,,0.359,0.054,0.281,0.084
Mookie Betts,0.258,0.326,0.406,0.732,,,663,95,20,82,8,,0.258,0.092,0.103,0.148
Jordan Beck,0.258,0.317,0.416,0.733,,,588,62,16,53,19,,0.351,0.073,0.296,0.158
Jasson Domínguez,0.257,0.331,0.388,0.719,,,429,58,10,47,23,,0.338,0.096,0.268,0.131
Willson Contreras,0.257,0.344,0.447,0.791,,,563,70,20,80,5,,0.319,0.078,0.252,0.19
Korey Lee,0.257,0.333,0.429,0.762,,,40,10,1,3,0,,0.296,0.1,0.175,0.172
Zach Neto,0.257,0.319,0.474,0.793,,,554,82,26,62,26,,0.312,0.06,0.269,0.217
J.T. Realmuto,0.257,0.315,0.384,0.699,,,550,57,12,52,8,,0.321,0.064,0.235,0.127
CJ Abrams,0.257,0.315,0.433,0.748,,,635,92,19,60,31,,0.296,0.058,0.197,0.176
Ty France,0.257,0.32,0.36,0.68,,,490,50,7,52,1,,0.3,0.045,0.169,0.103
Javier Báez,0.257,0.282,0.398,0.68,,,437,55,12,57,5,,0.318,0.023,0.249,0.141
Bryson Stott,0.257,0.328,0.391,0.719,,,560,66,13,66,24,,0.288,0.096,0.163,0.134
Yainer Diaz,0.256,0.284,0.417,0.701,,,567,56,20,70,1,,0.277,0.035,0.168,0.161
Jarren Duran,0.256,0.332,0.442,0.774,,,696,86,16,84,24,,0.326,0.086,0.243,0.186
Heliot Ramos,0.256,0.328,0.4,0.728,,,695,85,21,69,6,,0.309,0.075,0.227,0.144
Jorge Alfaro,0.256,0.256,0.308,0.564,,,39,3,0,3,1,,0.4,0.0,0.359,0.052
Brandon Lowe,0.256,0.307,0.477,0.784,,,553,79,31,83,3,,0.297,0.069,0.269,0.221
Caleb Durbin,0.256,0.334,0.387,0.721,,,506,60,11,53,18,,0.265,0.059,0.099,0.131
Francisco Alvarez,0.256,0.339,0.447,0.786,,,277,32,11,32,0,,0.321,0.097,0.264,0.191
Colt Keith,0.256,0.333,0.413,0.746,,,468,65,13,45,1,,0.307,0.103,0.218,0.157
James Wood,0.256,0.35,0.475,0.825,,,689,87,31,94,15,,0.35,0.123,0.321,0.219
Gleyber Torres,0.256,0.358,0.387,0.745,,,628,79,16,74,4,,0.284,0.135,0.161,0.131
Kyle Isbel,0.255,0.301,0.353,0.654,,,409,42,4,33,4,,0.307,0.056,0.181,0.098
Zach Cole,0.255,0.327,0.553,0.88,,,52,9,4,11,3,,0.348,0.096,0.385,0.298
Nathan Lukes,0.255,0.323,0.407,0.73,,,438,55,12,65,2,,0.273,0.087,0.137,0.152
Ben Rice,0.255,0.337,0.499,0.836,,,530,74,26,65,3,,0.271,0.094,0.189,0.244
Sal Stewart,0.255,0.293,0.545,0.838,,,58,11,5,8,0,,0.257,0.052,0.259,0.29
Brett Baty,0.254,0.313,0.435,0.748,,,432,53,18,50,8,,0.304,0.076,0.25,0.181
Isaac Paredes,0.254,0.352,0.458,0.81,,,438,53,20,53,0,,0.268,0.114,0.174,0.204
Andrew Vaughn,0.254,0.307,0.411,0.718,,,447,35,14,65,0,,0.28,0.069,0.179,0.157
Chase Meidroth,0.253,0.329,0.32,0.649,,,505,54,5,23,14,,0.291,0.089,0.143,0.067
Thairo Estrada,0.253,0.285,0.37,0.655,,,165,14,3,21,1,,0.281,0.036,0.158,0.117
Griffin Conine,0.253,0.314,0.418,0.732,,,86,13,2,8,0,,0.346,0.081,0.291,0.165
Sam Haggerty,0.253,0.328,0.37,0.698,,,182,31,2,13,12,,0.317,0.088,0.203,0.117
Vidal Bruján,0.253,0.305,0.31,0.615,,,95,14,0,8,2,,0.328,0.063,0.221,0.057
Ezequiel Tovar,0.253,0.294,0.4,0.694,,,390,44,9,33,5,,0.322,0.054,0.251,0.147
Ben Williamson,0.253,0.294,0.31,0.604,,,295,36,1,21,5,,0.325,0.051,0.217,0.057
Masyn Winn,0.253,0.31,0.363,0.673,,,537,72,9,51,9,,0.301,0.063,0.19,0.11
Rafael Devers,0.252,0.372,0.479,0.851,,,729,99,35,109,1,,0.307,0.154,0.263,0.227
Luis García Jr.,0.252,0.289,0.412,0.701,,,526,67,16,66,14,,0.27,0.051,0.16,0.16
Gavin Sheets,0.252,0.317,0.429,0.746,,,545,57,19,71,2,,0.284,0.081,0.196,0.177
Warming Bernabel,0.252,0.288,0.41,0.698,,,146,15,4,14,1,,0.282,0.048,0.171,0.158
Kerry Carpenter,0.252,0.291,0.497,0.788,,,464,66,26,62,1,,0.274,0.039,0.228,0.245
Josh Jung,0.251,0.294,0.39,0.684,,,511,53,14,61,4,,0.316,0.053,0.252,0.139
Connor Norby,0.251,0.3,0.389,0.689,,,337,42,8,34,8,,0.324,0.053,0.267,0.138
Freddy Fermin,0.251,0.297,0.339,0.636,,,347,32,5,26,1,,0.301,0.055,0.187,0.088
Josh Smith,0.251,0.335,0.366,0.701,,,563,70,10,35,12,,0.295,0.098,0.178,0.115
Trevor Larnach,0.25,0.323,0.404,0.727,,,567,62,17,60,4,,0.295,0.093,0.215,0.154
Nick Castellanos,0.25,0.294,0.4,0.694,,,589,72,17,72,4,,0.298,0.054,0.226,0.15
Tyler Black,0.25,0.538,0.375,0.913,,,13,1,0,1,0,,0.286,0.385,0.077,0.125
Corey Julks,0.25,0.231,0.417,0.648,,,13,2,0,1,0,,0.3,0.0,0.231,0.167
Carter Kieboom,0.25,0.25,0.25,0.5,,,8,0,0,1,0,,0.286,0.0,0.125,0.0
Miles Mastrobuoni,0.25,0.324,0.296,0.62,,,175,20,1,12,6,,0.301,0.097,0.166,0.046
Ryan Mountcastle,0.25,0.286,0.367,0.653,,,357,34,7,35,3,,0.326,0.042,0.275,0.117
Emmanuel Rivera,0.25,0.291,0.283,0.574,,,127,5,0,13,1,,0.313,0.047,0.189,0.033
Cal Stevenson,0.25,0.25,0.25,0.5,,,8,0,0,1,0,,0.333,0.0,0.25,0.0
Eric Wagaman,0.25,0.296,0.378,0.674,,,514,56,9,53,4,,0.296,0.062,0.195,0.128
Jack Winkler,0.25,0.25,0.375,0.625,,,16,2,0,0,1,,0.333,0.0,0.25,0.125
Alek Thomas,0.249,0.289,0.37,0.659,,,469,51,9,38,7,,0.324,0.045,0.26,0.121
Carson Kelly,0.249,0.333,0.428,0.761,,,421,48,17,50,2,,0.272,0.107,0.19,0.179
Joey Bart,0.249,0.355,0.34,0.695,,,332,21,4,30,1,,0.356,0.12,0.28,0.091
Ceddanne Rafaela,0.249,0.295,0.414,0.709,,,587,84,16,63,20,,0.289,0.048,0.199,0.165
Michael Harris II,0.249,0.268,0.409,0.677,,,641,55,20,86,20,,0.281,0.025,0.2,0.16
Lourdes Gurriel Jr.,0.248,0.295,0.418,0.713,,,546,52,19,80,10,,0.254,0.057,0.139,0.17
Evan Carter,0.247,0.336,0.392,0.728,,,220,31,5,25,14,,0.291,0.086,0.186,0.145
Keibert Ruiz,0.247,0.277,0.318,0.595,,,267,19,2,25,0,,0.268,0.03,0.097,0.071
Pete Crow-Armstrong,0.247,0.287,0.481,0.768,,,647,91,31,95,35,,0.276,0.045,0.24,0.234
Liam Hicks,0.247,0.346,0.346,0.692,,,390,37,6,45,2,,0.278,0.11,0.144,0.099
Donovan Solano,0.247,0.291,0.337,0.628,,,179,10,3,21,0,,0.304,0.045,0.223,0.09
Wilyer Abreu,0.247,0.317,0.469,0.786,,,417,53,22,69,6,,0.277,0.096,0.242,0.222
Cal Raleigh,0.247,0.359,0.589,0.948,,,705,110,60,125,14,,0.248,0.138,0.267,0.342
Teoscar Hernández,0.247,0.284,0.454,0.738,,,546,65,25,89,5,,0.283,0.048,0.245,0.207
Jhonny Pereda,0.246,0.325,0.333,0.658,,,78,4,0,4,0,,0.354,0.103,0.269,0.087
Otto Lopez,0.246,0.305,0.368,0.673,,,594,66,15,77,15,,0.264,0.074,0.138,0.122
Jake Cronenworth,0.246,0.367,0.377,0.744,,,515,61,11,59,3,,0.299,0.134,0.208,0.131
Bryan Reynolds,0.245,0.318,0.402,0.72,,,654,68,16,73,3,,0.319,0.087,0.265,0.157
Jurickson Profar,0.245,0.353,0.434,0.787,,,371,56,14,43,9,,0.261,0.129,0.159,0.189
Victor Robles,0.245,0.281,0.33,0.611,,,114,12,1,9,6,,0.309,0.026,0.228,0.085
Seiya Suzuki,0.245,0.326,0.478,0.804,,,651,75,32,103,5,,0.282,0.109,0.252,0.233
Zach Dezenzo,0.245,0.321,0.367,0.688,,,109,17,2,10,1,,0.373,0.101,0.339,0.122
Tommy Pham,0.245,0.33,0.37,0.7,,,449,44,10,52,5,,0.294,0.111,0.209,0.125
Travis Jankowski,0.244,0.286,0.289,0.575,,,50,8,0,2,2,,0.324,0.06,0.24,0.045
Luke Maile,0.244,0.346,0.356,0.702,,,54,6,1,6,1,,0.357,0.13,0.296,0.112
Leo Rivas,0.244,0.387,0.333,0.72,,,111,19,2,9,6,,0.313,0.18,0.216,0.089
Michael Massey,0.244,0.268,0.313,0.581,,,277,20,3,20,2,,0.277,0.032,0.155,0.069
Wenceel Pérez,0.244,0.308,0.43,0.738,,,383,47,13,43,8,,0.285,0.081,0.227,0.186
Dansby Swanson,0.244,0.3,0.417,0.717,,,645,84,24,77,20,,0.298,0.073,0.26,0.173
Addison Barger,0.243,0.301,0.454,0.755,,,502,61,21,74,4,,0.284,0.072,0.241,0.211
José Tena,0.243,0.314,0.355,0.669,,,169,19,0,16,3,,0.319,0.089,0.219,0.112
Jeff McNeil,0.243,0.335,0.411,0.746,,,462,42,12,54,3,,0.253,0.106,0.119,0.168
Oswaldo Cabrera,0.243,0.322,0.308,0.63,,,122,17,1,11,0,,0.305,0.09,0.205,0.065
Max Muncy,0.243,0.376,0.47,0.846,,,388,48,19,67,4,,0.264,0.165,0.214,0.227
